Start Date Month,Start Date Dayofweek,Start Date is weekend,Start Date quarter,lag_1_sessions,lag_7_sessions,rolling_7_mean,rolling_7_std
10,4,0,4,3.0,3.0,3.142857142857143,0.8997354108424366
10,4,0,4,2.0,1.0,1.7142857142857142,0.9511897312113443
10,4,0,4,1.0,2.0,1.1428571428571428,0.3779644730092272
10,5,1,4,4.0,2.0,4.142857142857143,1.8644544714715998
10,5,1,4,3.0,1.0,2.0,1.0000000000000062
10,5,1,4,3.0,4.0,3.142857142857143,0.8997354108424366
10,5,1,4,2.0,1.0,2.0,1.1547005383793656
10,6,1,4,4.0,4.0,4.428571428571429,1.6183471874253679
10,6,1,4,5.0,2.0,3.2857142857142856,1.1126972805283728
10,6,1,4,2.0,1.0,2.142857142857143,1.069044967649818
10,0,0,4,4.0,1.0,1.4285714285714286,1.1338934190276817
10,0,0,4,1.0,1.0,2.0,1.000000000000006
10,0,0,4,2.0,4.0,3.2857142857142856,1.1126972805283728
10,0,0,4,3.0,2.0,2.4285714285714284,0.9759000729486587
10,0,0,4,1.0,3.0,4.0,2.0816659994661233
10,1,0,4,1.0,1.0,2.0,1.000000000000006
10,1,0,4,1.0,1.0,1.4285714285714286,1.1338934190276817
10,1,0,4,2.0,8.0,3.857142857142857,2.193062655175124
10,1,0,4,3.0,2.0,3.142857142857143,1.0690449676496967
10,1,0,4,1.0,1.0,2.2857142857142856,1.1126972805284865
10,2,0,4,3.0,4.0,2.5714285714285716,0.9759000729486557
10,2,0,4,2.0,3.0,2.142857142857143,0.8997354108424465
10,2,0,4,5.0,4.0,3.5714285714285716,1.133893419027681
10,2,0,4,3.0,1.0,1.7142857142857142,1.2535663410560174
10,2,0,4,4.0,4.0,3.2857142857142856,1.2535663410559894
10,3,0,4,3.0,4.0,3.142857142857143,1.2149857925878804
10,3,0,4,4.0,3.0,3.5714285714285716,1.133893419027681
10,3,0,4,2.0,1.0,1.8571428571428572,1.2149857925879117
10,4,0,4,1.0,3.0,2.142857142857143,0.8997354108425804
10,4,0,4,1.0,3.0,1.8571428571428572,0.899735410842442
10,4,0,4,4.0,3.0,3.7142857142857144,1.112697280528373
10,4,0,4,1.0,1.0,1.8571428571428572,1.2149857925879117
10,4,0,4,6.0,4.0,3.4285714285714284,1.6183471874253543
10,5,1,4,2.0,2.0,1.7142857142857142,0.7559289460184574
10,5,1,4,4.0,4.0,3.4285714285714284,1.6183471874253543
10,5,1,4,6.0,5.0,4.142857142857143,1.345185418269098
